eleccion_tipo,provincia,agrupacion,votos
GENERAL,San Juan,HACEMOS POR NUESTRO PAIS,27427
GENERAL,San Juan,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,10025
GENERAL,San Luis,UNION POR LA PATRIA,86681
PASO,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",HACEMOS POR NUESTRO PAIS,4315
PASO,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",LA LIBERTAD AVANZA,35697
PASO,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",JUNTOS POR EL CAMBIO,21045
PASO,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,2703
GENERAL,Buenos Aires,UNION POR LA PATRIA,4224688
GENERAL,Catamarca,HACEMOS POR NUESTRO PAIS,14967
GENERAL,Catamarca,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3666
GENERAL,Catamarca,LA LIBERTAD AVANZA,74570
GENERAL,Catamarca,JUNTOS POR EL CAMBIO,39960
GENERAL,Corrientes,HACEMOS POR NUESTRO PAIS,19118
GENERAL,Corrientes,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,7315
GENERAL,Corrientes,JUNTOS POR EL CAMBIO,224519
GENERAL,Corrientes,LA LIBERTAD AVANZA,187916
GENERAL,Río Negro,UNION POR LA PATRIA,166135
GENERAL,Salta,HACEMOS POR NUESTRO PAIS,47990
GENERAL,Salta,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,13533
GENERAL,Salta,LA LIBERTAD AVANZA,309115
GENERAL,Salta,JUNTOS POR EL CAMBIO,106684
GENERAL,Santiago del Estero,LA LIBERTAD AVANZA,141344
GENERAL,Santiago del Estero,JUNTOS POR EL CAMBIO,49761
GENERAL,Santiago del Estero,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,7785
GENERAL,Santiago del Estero,HACEMOS POR NUESTRO PAIS,13305
GENERAL,Santa Fe,LA LIBERTAD AVANZA,657813
GENERAL,Santa Fe,JUNTOS POR EL CAMBIO,544677
GENERAL,Santa Fe,HACEMOS POR NUESTRO PAIS,183205
GENERAL,Santa Fe,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,38553
PASO,Mendoza,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,31452
PASO,Mendoza,HACEMOS POR NUESTRO PAIS,13858
PASO,Mendoza,JUNTOS POR EL CAMBIO,294077
PASO,Mendoza,LA LIBERTAD AVANZA,466437
PASO,Formosa,JUNTOS POR EL CAMBIO,68739
PASO,Formosa,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,2116
PASO,Formosa,LA LIBERTAD AVANZA,80753
PASO,Formosa,HACEMOS POR NUESTRO PAIS,3208
